sale_id,customer_name,email,product,region,quantity,unit_price,sale_date
1,Lori Haney,ufisher@example.net,Laptop,Lagos,2,4108,2024-10-08
2,Ronald Figueroa,jennifer47@example.net,Mouse,Kano,7,4570,2026-03-09
3,Dustin Mcneil,andersoncarolyn@example.net,Monitor,Ibadan,9,2965,2026-06-27
4,Joseph Banks,david98@example.net,Mouse,Abuja,3,1423,2024-08-27
5,Jamie Taylor,sarahjackson@example.net,Router,Ibadan,8,1094,2026-03-31
6,Cathy Davis,omurray@example.net,Tablet,Kano,10,1876,2025-12-20
7,Albert Ryan,fwelch@example.com,Tablet,Port Harcourt,7,3606,2026-04-19
8,Jordan Ramirez,bsmith@example.net,Printer,Kano,1,4241,2025-04-15
9,Sabrina Pierce,wareanthony@example.com,Tablet,Kano,10,157,2025-06-30
10,Joshua Chan,zwilliams@example.org,Monitor,Kano,10,397,2025-08-12
11,Angela Mcintosh,xgarcia@example.com,Monitor,Lagos,7,3503,2024-12-28
12,Aimee Salazar,daniel20@example.net,Laptop,Lagos,2,2460,2025-05-23
13,Jeffrey Brown,meganwood@example.net,Phone,Lagos,10,3873,2025-04-05
14,Rebecca Kent,christinarobbins@example.net,Mouse,Kano,5,4713,2026-01-01
15,Sydney Giles,woodsscott@example.org,Phone,Lagos,7,1296,2025-04-20
16,Tony York,dennislewis@example.org,Monitor,Abuja,5,3197,2024-09-11
17,Theresa Ruiz,julie05@example.net,Phone,Abuja,10,631,2026-06-23
18,Nicholas Jacobs,ellenmoore@example.net,Phone,Kano,10,4554,2025-05-25
19,Michael Johnson,reesecarrie@example.com,Laptop,Ibadan,2,3926,2025-01-20
20,David Kelly,mferguson@example.com,Mouse,Kano,10,4408,2025-09-27
21,Daniel Cox,raymondsmith@example.org,Laptop,Abuja,10,2678,2024-07-20
22,Stephanie Green,qreed@example.net,Printer,Kano,8,3122,2026-02-25
23,Brittney Garcia,victor74@example.net,Tablet,Kano,8,717,2026-05-23
24,Tracy Martin,juliefisher@example.com,Monitor,Ibadan,9,1880,2025-12-21
25,Robert Johnson,wfoster@example.com,Laptop,Lagos,6,1012,2025-01-01
26,Colleen Bullock,eric09@example.net,Monitor,Abuja,7,2858,2024-08-20
27,Robert Acosta,yrobertson@example.net,Keyboard,Lagos,5,1809,2025-10-10
28,Jennifer Ballard,yhenderson@example.net,Tablet,Ibadan,1,1875,2025-05-26
29,Michael Adams,amyjones@example.com,Printer,Lagos,1,3617,2025-01-11
30,Douglas White,,Keyboard,Ibadan,8,1103,2025-04-29
31,Dr. Adrian Reynolds MD,caitlynyoung@example.com,Router,Abuja,5,3933,2025-02-01
32,Jonathan Soto,kathryn32@example.net,Tablet,Port Harcourt,1,1251,2026-06-28
33,Christopher Warner,reidsusan@example.org,Monitor,Kano,1,4701,2025-10-04
34,Andrea Lopez,mwalton@example.com,Laptop,Lagos,1,3117,2026-01-05
35,Ashley Anderson,wrightemma@example.net,Keyboard,Lagos,1,3240,2025-03-30
36,Jodi Hart,higginsthomas@example.com,Monitor,Lagos,10,4133,2025-09-01
37,Dr. Angela Thomas,tarahill@example.org,Keyboard,Ibadan,2,1742,2025-05-27
38,Kelli Reeves,sarahjohnson@example.net,Router,Lagos,7,1606,2024-12-25
39,James Nelson,schmidtalexandria@example.org,Laptop,Kano,4,3453,2025-08-10
40,Cassandra Blake,fhanna@example.org,Mouse,Abuja,5,4407,2026-06-10
41,Dan Gaines,bgilmore@example.org,Monitor,Ibadan,4,3488,2026-02-21
42,Robert Marks,msmith@example.org,Tablet,Abuja,5,3550,2026-01-09
43,Marissa Thomas,fosteranthony@example.net,Router,Port Harcourt,6,4716,2024-12-16
44,Kim Richards,adamowens@example.net,Printer,Lagos,9,4549,2026-01-18
45,Allen Yang,gallaghercarla@example.net,Tablet,Port Harcourt,6,3619,2026-01-28
46,Angela Fisher,kimberly64@example.com,Phone,Lagos,6,1478,2025-11-01
47,Jessica Davis,paul32@example.org,Keyboard,Port Harcourt,4,4013,2026-01-22
48,Audrey Horne,pferrell@example.com,Monitor,Kano,9,3773,2025-12-01
49,Kayla Gonzalez,joseph81@example.net,Monitor,Ibadan,7,277,2025-08-26
50,Jason Savage,jeremy14@example.org,Monitor,Ibadan,6,4334,2025-05-02
51,David Morales,samuelduran@example.net,Tablet,Ibadan,3,1908,2026-05-12
52,Mr. Richard Alvarez MD,afleming@example.org,Router,Abuja,7,294,2025-02-09
53,Deborah Nicholson,victoriamontgomery@example.com,Laptop,Abuja,10,3936,2025-07-31
54,James Adams,janicecarrillo@example.net,Monitor,Abuja,6,1452,2025-10-29
55,Jacqueline White,elliottmartin@example.org,Keyboard,Abuja,4,4901,2025-12-26
56,John Fernandez,lcox@example.com,Monitor,Lagos,5,755,2026-05-10
57,Amy Taylor,tshaw@example.net,Router,Kano,4,453,2026-06-09
58,John Smith,jessica86@example.org,Phone,Port Harcourt,10,1147,2025-04-22
59,Amanda Wagner,carrielewis@example.com,Laptop,Kano,3,2641,2025-02-05
60,Nancy Harrison,riverabethany@example.com,Keyboard,Kano,7,3372,2024-12-09
61,Cody Rodriguez,valenzuelaevan@example.net,Router,Abuja,10,2614,2026-05-30
62,Gabriel Hahn,paul81@example.org,Tablet,Lagos,3,4567,2025-07-27
63,Lisa Thompson MD,eric36@example.org,Router,Lagos,2,1224,2026-01-19
64,Samantha Edwards,mendozajohn@example.net,Router,Lagos,2,2880,2024-08-16
65,Mario Rosales,jason51@example.com,Keyboard,Abuja,6,939,2024-06-30
66,Heidi Brown,richardbrown@example.org,Tablet,Abuja,5,1018,2025-08-06
67,Robert Pierce,jesse25@example.net,Phone,Port Harcourt,3,800,2024-09-27
68,Raymond Hall,galexander@example.org,Router,Ibadan,4,2343,2025-05-06
69,Tiffany Robertson,emurphy@example.com,Printer,Lagos,2,533,2025-08-20
70,Grace Delgado,obrienamanda@example.org,Phone,Abuja,3,465,2024-08-07
71,Harry Anderson,hbennett@example.org,Printer,Port Harcourt,3,1488,2025-08-02
72,Karen Robertson,qrodriguez@example.com,Mouse,Abuja,3,876,2024-08-10
73,Allen Jackson,ggentry@example.net,Mouse,Ibadan,6,4343,2026-03-29
74,James Pace,kelsey73@example.org,Monitor,Kano,9,2850,2025-08-03
75,Erik Taylor,vaughankathryn@example.org,Laptop,Ibadan,9,3368,2025-09-16
76,Catherine Sanford,angela66@example.net,Router,Port Harcourt,4,2112,2025-04-03
77,Mitchell Barnes,amanda35@example.net,Router,Abuja,10,4037,2025-08-04
78,Ms. Samantha Carey,tmacdonald@example.org,Mouse,Abuja,4,3660,2025-10-01
79,Richard Davis,pwhite@example.net,Printer,Abuja,6,3640,2024-07-20
80,Bryan Stewart,jimmyhall@example.com,Tablet,Ibadan,8,1753,2024-12-24
81,Diana Rasmussen,meyerandrew@example.org,Monitor,Lagos,4,786,2026-06-24
82,William Barber,singletonkimberly@example.com,Monitor,Port Harcourt,1,1374,2024-09-30
83,Jeffrey Fisher,wbanks@example.com,Monitor,Kano,1,2280,2025-06-28
84,Travis Cohen,haleytamara@example.net,Printer,Ibadan,6,3808,2024-10-02
85,Daniel Sanchez,ucantu@example.com,Phone,Lagos,7,1927,2026-01-21
86,Crystal Murray,jennifersimpson@example.com,Keyboard,Abuja,3,4251,2024-08-16
87,Michelle Webb,thomas91@example.org,Tablet,Port Harcourt,2,791,2026-04-17
88,Nichole Jenkins,stacie85@example.com,Phone,Abuja,2,2688,2025-01-18
89,Lori Davis,jaredphillips@example.net,Monitor,Abuja,5,4484,2026-02-05
